Lake Name,Counted By,Date Sampled,Host Species,Parasite,Egg Number,Notes
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,2,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,1,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,1,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,1,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,1,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,1,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,6/1/2022,Retrocurva,Coke,1,
Cedar,KJM,6/1/2022,Retrocurva,Coke,2,
Cedar,KJM,6/1/2022,Retrocurva,Coke,0,
Cedar,KJM,6/1/2022,Retrocurva,Coke,0,
Cedar,KJM,6/1/2022,Retrocurva,Coke,0,
Cedar,KJM,6/1/2022,Retrocurva,Coke,2,
Cedar,KJM,6/1/2022,Retrocurva,Coke,2,
Cedar,KJM,6/1/2022,Retrocurva,Coke,0,
Cedar,KJM,6/1/2022,Retrocurva,Coke,0,
Cedar,KJM,6/1/2022,Retrocurva,Coke,0,
Cedar,KJM,6/1/2022,Retrocurva,Coke,0,
Cedar,KJM,6/1/2022,Retrocurva,Coke,0,
Cedar,KJM,6/1/2022,Retrocurva,Coke,0,
Crooked W,MKD,6/1/2022,Retrocurva,Uninfected ,0,
Crooked W,MKD,6/1/2022,Retrocurva,Uninfected ,1,
Crooked W,MKD,6/1/2022,Retrocurva,Uninfected ,1,
Crooked W,MKD,6/1/2022,Retrocurva,Uninfected ,0,
Crooked W,MKD,6/1/2022,Retrocurva,Uninfected ,0,
Crooked W,MKD,6/1/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,1,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Uninfected ,0,
Appleton,KJM,6/2/2022,Retrocurva,Yellow Spiro,0,
Appleton,KJM,6/2/2022,Retrocurva,Yellow Spiro,1,
Appleton,KJM,6/2/2022,Retrocurva,Yellow Spiro,0,
Appleton,KJM,6/2/2022,Retrocurva,Yellow Spiro,0,
Appleton,KJM,6/2/2022,Retrocurva,Yellow Spiro,0,
Appleton,KJM,6/2/2022,Retrocurva,Yellow Spiro,0,
Appleton,KJM,6/2/2022,Retrocurva,Yellow Spiro,0,
Appleton,KJM,6/2/2022,Retrocurva,Coke,0,
Appleton,KJM,6/2/2022,Retrocurva,Brood,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,2,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,1,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,1,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,1,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,1,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,1,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Uninfected ,0,
Bishop,LSD,6/2/2022,Retrocurva,Coke,1,
Whitmore,LSD,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,1,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,1,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,1,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Uninfected ,0,
Woodland,SKC,6/3/2022,Retrocurva,Coke,0,
Woodland,SKC,6/3/2022,Retrocurva,Gurleya,0,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,0,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,0,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,1,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,0,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,2,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,2,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,0,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,0,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,2,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,0,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,0,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,2,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,0,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,0,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,0,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,0,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,2,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,0,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,1,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,0,
Mill,KJM,6/6/2022,Retrocurva,Uninfected ,0,
Walsh,KFS,6/6/2022,Retrocurva,Uninfected ,3,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,0,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,0,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,1,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,2,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,2,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,2,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,0,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,2,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,0,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,0,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,2,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,0,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,2,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,0,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,0,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,1,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,1,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,2,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,2,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,1,
Bruin,KJM,6/7/2022,Retrocurva,Uninfected ,2,
Bruin,KJM,6/7/2022,Retrocurva,Coke,0,
Bruin,KJM,6/7/2022,Retrocurva,Coke,0,
Bruin,KJM,6/7/2022,Retrocurva,Coke,0,
Bruin,KJM,6/7/2022,Retrocurva,Coke,1,
Bruin,KJM,6/7/2022,Retrocurva,Coke,2,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,3,
North,KJM,6/8/2022,Retrocurva,Uninfected ,1,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,1,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,1,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,1,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,2,
North,KJM,6/8/2022,Retrocurva,Uninfected ,0,
North,KJM,6/8/2022,Retrocurva,Uninfected ,1,
North,KJM,6/8/2022,Retrocurva,Coke,0,
North,KJM,6/8/2022,Retrocurva,Coke,0,
North,KJM,6/8/2022,Retrocurva,Coke,0,
North,KJM,6/8/2022,Retrocurva,Coke,0,
North,KJM,6/8/2022,Retrocurva,Coke,1,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,2,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,1,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,1,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,1,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,1,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,2,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,1,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,3,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,1,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,2,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,1,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,1,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,0,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,1,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,2,
Cedar,KJM,7/11/2022,Retrocurva,Uninfected ,2,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,2,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,1,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,0,
Crooked W,SKC and KJM,7/11/2022,Retrocurva,Uninfected ,2,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,2,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,2,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,2,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,0,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,0,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,2,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,2,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,0,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,2,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,2,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,0,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,1,
Bishop,MKD,7/13/2022,Retrocurva,Uninfected ,2,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,2,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,3,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,0,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,1,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,1,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,2,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,1,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,0,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,0,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,0,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,0,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,3,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,1,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,0,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,0,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,0,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,0,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,0,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,0,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,5,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,2,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,1,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,2,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,2,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,1,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,2,
Appleton,KMM,7/13/2022,Retrocurva,Uninfected ,2,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,1,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,2,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,1,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,0,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,4,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,0,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,0,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,3,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,1,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,2,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,1,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,2,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,2,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,1,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,1,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,2,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,4,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,2,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,2,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,1,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,2,
Woodland,KDM,7/14/2022,Retrocurva,Uninfected ,3,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,2,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,2,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,2,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,0,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,0,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,0,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,0,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,1,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,4,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,1,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,1,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,2,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,3,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,3,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,3,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,0,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,2,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,3,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,3,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,2,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,2,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,0,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,2,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,1,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,1,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,1,
Mill,KFS,7/18/2022,Retrocurva,Uninfected ,1,
Mill,KFS,7/18/2022,Retrocurva,Coke,0,
Mill,KFS,7/18/2022,Retrocurva,Coke,0,
Mill,KFS,7/18/2022,Retrocurva,Coke,3,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,1,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,1,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,0,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,1,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,1,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,1,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,0,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,0,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,0,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,1,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,0,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,0,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,0,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,1,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,1,
Bruin,SKC,7/20/2022,Retrocurva,Uninfected ,0,
